Cross_Validation	Asegurado_id	Ind_Ramo_Canal_Vigente	Meses_Antiguedad_Ramo_Canal	Canal_Agrup_Id	Ind_Exequial	Ind_Accidentes_Personales	Ind_Automoviles	Ind_Hogar	Ind_SuRenta	Ind_MasVida	Ind_Soat	Ind_Renta_Educativa	Ind_Otros_Personales	Ind_Salud	Ind_Otros_Empresariales	Ind_Arrendamiento	Ind_Renta_Pensional	Ind_Desempleo	Ind_Vida	Produccion_Emitida_Grupo_Cliente	Porc_RT_Grupo_Cliente	Frecuencia_Anual_Siniestros_Grupo_Cliente	Monto_Pagado_Siniestros_Grupo_Cliente	Recencia_Meses_Ultimo_Siniestros_Grupo_Cliente	Cont_Compania_Cliente	Regional_Contacto_id	Sexo_id	Edad	Numero_Hijos	Ind_Dependientes_Menores18	Ind_Dependientes_Mayores18	Nivel_Ingreso_id	Nivel_Estudios_id	Estado_Civil_id	Ind_Independiente	Cont_Quejas	Cont_Peticion	Cont_Inquietud	Ind_Tipo_Negocio_Colectivo	Ind_Forma_Pago_Mensual	Ind_Forma_Pago_Anual	Ind_Tipo_Pago_Caja_Sura	Ind_Tipo_Pago_Financiacion_Sura
0	71	0	53	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	959,087.42	-6.78	0.09	373,483.43	0.93	2	2	2	46	2	0	0	10	3	5	0	1	2	3	1	1	0	1	0
0	72	1	20	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,626,853.00	18.44	0	0	0	1	3	2	63	-1	0	0	7	-1	-1	0	0	0	0	0	0	1	1	0
0	73	0	36	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13,766.00	1.75	1	2,917,080.00	10	1	2	1	30	0	0	0	8	4	1	0	0	0	1	0	0	1	0	1
1	74	1	38	24,390,649	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	3,675,606.20	33.6	0	0	0	3	2	1	49	2	0	0	7	3	2	0	0	0	0	1	1	0	1	0
1	75	1	44	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,290,548.71	-42.16	0	0	0	1	5	2	39	-1	0	0	99	-1	-1	0	0	1	1	1	0	1	1	0
0	76	1	8	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2,545,798.00	-3.65	0	0	0	1	3	1	29	-1	-1	-1	99	-1	-1	0	0	0	0	0	0	1	0	0
1	77	1	5	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2,077,115.96	15.14	0.22	896,713.62	1.76	2	2	2	39	0	0	0	7	-1	2	0	0	0	0	1	1	0	1	0
0	78	0	44	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	870,545.99	-15.5	0	0	0	1	3	2	36	1	0	0	10	-1	2	0	0	0	0	0	1	0	0	0
0	79	0	9	24,390,652	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,166,686.44	16.47	0	0	0	2	2	1	64	0	0	1	7	-1	-1	0	0	0	0	1	1	0	1	0
0	80	1	25	24,390,648	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1,324,844.89	-17.21	0.1	560,453.94	0.96	2	3	1	36	2	0	0	8	-1	5	0	0	0	0	1	1	0	1	0
0	81	0	12	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1,201,357.88	7.13	0	0	0	2	2	2	36	1	1	0	8	-1	1	0	0	0	0	1	1	0	1	0
